UUID,ComputerName,PasswordNotRequired,Groups,OhYou
c1217d86-b9bf-42ec-87cb-cd3d654b7f41,acct,,Windows Servers,"OU=Servers,DC=defense,DC=local"
c75e235c-8e3c-4c61-a3e5-31bd8ef19ef5,acctng,,Linux Servers,"OU=Servers,DC=defense,DC=local"
4092515a-82f7-4ccd-b8ae-22f4da14a427,inv,,Linux Servers,"OU=Servers,DC=defense,DC=local"
435c0515-e26d-4285-8102-02059d58ba53,hrdfs,,Windows Servers,"OU=Servers,DC=defense,DC=local"
7bb2dca4-4a36-4b23-ac16-6683f2341266,pm01,,Windows Servers|PSS,"OU=Servers,DC=defense,DC=local"
3b103185-055f-426d-8748-d411d590a94b,pm02,,Windows Servers|PSS,"OU=Servers,DC=defense,DC=local"
78986f8d-28d7-44fe-a6f3-ccb346c82d66,WSHQEXEC01,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
372b7e65-fa27-4f24-ac6f-1d62ebded75f,WSHQEXEC02,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
76bb5e65-fbcd-436d-80bf-9deac16fb4bb,WSHQEXEC03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
14c5b740-c38c-4ef2-9b1b-87480ed36c9e,WSHQEXEC04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
a1e6873c-45a7-4441-8059-9f9f9a0fa134,WSHQEXEC05,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
09c04acc-b124-4b43-8dae-e0e3290d66ff,WSHQEXEC06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
31b62a9d-c416-4adc-a628-5315fb205b2f,WSHQEXEC07,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
08f864df-f27b-4467-b0f5-205d3f256295,WSHQEXEC08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
819e9c9f-e40e-4d70-9805-e4f65afdf3a0,WSHQEXEC09,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
64d25bf3-3750-4723-bde9-6637ef58cd87,WSHQEXEC10,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
11762982-d679-4626-90af-35a619b35c4b,WSHQEXEC11,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
002d451b-77ec-48b5-9f24-651d15659c56,WSHQFIN01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
fe628791-0aad-4667-8ac0-c4f045562cb7,WSHQFIN02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
48c09d43-e2d0-4fb0-91e6-914af8e273f0,WSHQFIN03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
0597c81e-4f7d-4fbe-92fc-2fd1d40e421e,WSHQFIN04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
130ad43f-d4a3-4085-aa64-c1648a4f21ae,WSHQFIN05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
70350f44-dce5-4716-99d1-fe26b24fba62,WSHQFIN06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
8b239b74-9e42-41ee-9463-b08e8926b682,WSHQFIN07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
caa9c926-3171-43a5-9a79-c3708d27acfc,WSHQFIN08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2a738b9d-c960-4e70-89e9-0d8882474b09,WSHQRISK01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
1b068f3b-1a3f-456c-936d-2041d43f09b6,WSHQRISK02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
764b570e-4c33-4af7-a774-fa7c17a49227,WSHQRISK03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
e027f927-f52b-4de0-9359-3729b7632a8f,WSHQRISK04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
eb2cae93-fa07-4a66-bab0-0c24cee54142,WSHQRISK05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
baeb2784-1c1c-49d7-890e-89f2db52cd97,WSHQRISK06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
f72f5c85-c162-4efe-81dc-b0a228e961fb,WSHQRISK07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
68a05b92-a58f-4144-9b02-8f6b6c5307d4,WSHQRISK08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
d23bde22-4487-456c-8517-72cce20a1199,WSHQHR01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
e7ff3260-469b-4c59-ab2a-149aeed93369,WSHQHR02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
f0aaf49e-de4d-4607-aa01-8c2444b281ab,WSHQHR03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
222709a4-bf37-441c-ab79-074dc33d5e28,WSHQHR04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
4a46b0ce-578e-4d23-9438-16f7742186d3,WSHQHR05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
47f6475e-e7ef-46de-8c09-d426c9da58c2,WSHQHR06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
8a75d44f-8a8f-409b-b2aa-39459b38575e,WSHQHR07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
ad913078-5177-401f-95fa-c1ed940461b3,WSHQIT01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
99d9a677-d4da-44c6-b757-e3adb8e90545,WSHQIT02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
f1585635-4532-48d6-bd5e-c5a27f97a627,WSHQIT03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
0b715ea3-8514-4a51-8620-d3df202a001f,WSHQIT04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
8b54f773-1fe8-4d79-95bc-3abf67293f6b,WSHQIT05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
3c931e8d-7da0-4797-9f9e-79683299b5e0,WSHQIT06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
edb50afe-6e6b-4854-8bb9-358053c9d42e,WSHQIT07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
eb496bc1-4426-4f76-a2c7-71b3330e1ef2,WSHQIT08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
346b9bde-7be2-4191-8b41-fbba1e53f88e,WSHQIT09,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
fa0318e8-9ca4-4262-b34e-b67a64414ff4,WSHQIT10,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
020600b2-3889-48c7-8de4-1c92730e94d9,WSHQIT11,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
34fe791a-e8a0-429d-9a23-c80855b4e66a,WSHQADM01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
40fa8dc9-540c-4b65-8525-cf52190ecba0,WSHQADM02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
812ab1e8-f288-4115-b6ed-b7af41aa6227,WSHQADM03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
30ab88ff-ad7a-4457-994e-cef33a050e08,WSHQADM04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
9d808d1d-b103-4626-9f45-6b096f608d00,WSHQADM05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
bd381dc6-329e-43cc-a7f5-600a218cfbda,WSHQADM06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2513ed63-cacb-4e64-959b-98e2a3c370b0,WSHQSEC01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
7e87d73d-7ebd-47e9-807c-a0472acf1a08,WSHQSEC02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
d6230502-1335-4017-88c4-ae3dc7de4759,WSHQSEC03,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
efe2381d-1c78-45b7-a05a-27700fe19225,WSHQSEC04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
a994b027-0ce5-4d44-ab1e-90ce95cd9a16,WSHQSEC05,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
24d8a7fe-591c-45eb-aaf3-8186a71d836a,WSHQSEC06,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
278d30bb-390c-490e-aeb8-3c756068017a,WSHQSEC07,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
24a6f471-3f85-43fe-b22c-0ebc9ddde3c0,WSHQSEC08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
dd08a1f4-e5a5-42d6-9e4c-0de883414398,WSHQSEC09,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
11f69e19-ead0-475a-8c44-fb2331673574,WSHQMKT01,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
02b772eb-2adb-4622-ad44-ac5f9c42416c,WSHQMKT02,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
4de6723d-2936-4be4-bc0d-d70f0f5c0ff0,WSHQMKT03,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2b92dcd7-4a2c-4d8b-aa66-23882aaddc31,WSHQMKT04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
84f5d9dc-4ede-4000-a87b-6884da7c2392,WSHQMKT05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
146be01a-9532-42e0-9649-411ed4585f9b,WSHQMKT06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
1e817e40-3ed7-4fc7-b010-e012ac2deb75,WSHQMKT07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
68749233-dd9c-41bd-b1ba-07b115c0e58a,WSHQMKT08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
b8a261a6-347e-4124-9ee2-af94a371319a,WSHQOPS01,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
89ed650b-dad3-4cbb-81fb-32b6fef10e42,WSHQOPS02,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
5df736ba-5c09-4376-b398-46b480528640,WSHQOPS03,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
0aba1584-1131-4647-8399-b6ef33f2f687,WSHQOPS04,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2862684c-a42a-4a92-a7a6-d84f56578e17,WSHQOPS05,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
a2ee9292-aac3-4b86-aa13-46096c6291ed,WSHQOPS06,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
a33cecd8-009c-4c1e-86cc-ebe887fd8fb4,WSHQOPS07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2b168717-b533-426f-8d7b-d9182bc74bed,WSHQOPS08,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
b514bf51-6b93-4753-a9d9-048aa88dcc0c,WSHQOPS09,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
2e965a74-ce80-4910-837c-4b70605c8010,WSHQPSS01,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
8c18d81e-347e-410f-ab5f-a415819b5381,WSHQPSS02,,Workstations,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
77be42b2-338b-411b-b983-dad0d5c074c1,WSHQPSS03,,Laptops,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
f788ba01-c9ad-42be-a75e-58324321a5d8,WSHQPSS04,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
d271c6bc-a534-4561-8aeb-33218901ec13,WSHQPSS05,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
7b9b12ca-c57f-4784-b506-6214b6b8f19b,WSHQPSS06,,Laptops,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
efc1ed04-7f32-458f-9fd3-3236c62c5766,WSHQPSS07,,Workstations,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
1e96aed6-8eef-4b95-8f38-24fc5b2dc4e2,WSHQPSS08,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
a4b9c163-9716-4c6f-951f-85b51524c6ec,WSHQPSS09,,Workstations,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
484e0f9e-d39d-495f-a67e-3397900b31c2,WSHQPSS10,,Laptops,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
85b67c72-39b8-40c1-bf02-e4bbe4f78e80,WSHQPSS11,,Laptops,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
e251923d-1904-4b7f-9418-deba88e96e39,WSHQPSS12,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
9568f65a-53f7-4839-a704-662c2ffe2e12,WSHQPSS13,,Laptops,"OU=Computers,OU=Marietta,OU=Locations,DC=defense,DC=local"
d393d578-0f6d-4e1f-89f7-66d23e8b5272,WSHQPSS14,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
2480da85-8260-4135-9bff-29997e184cc3,WSHQPSS15,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
38a32740-3499-4d9b-b9c8-97967759e588,WSHQPSS16,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
78e5c19a-6499-44e7-ae98-74912dd1dceb,WSHQPSS17,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
277fdd00-df83-43e0-8e1c-4517d6df0e20,WSHQPSS18,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
586ee052-389d-43fb-9bfd-a09806fb794e,WSHQPSS19,,Laptops,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
0c72747d-456f-4ff4-bcc7-5760474464aa,WSHQPSS20,,Workstations,"OU=Computers,OU=Chicago,OU=Locations,DC=defense,DC=local"
1cb9ac84-5011-4409-87b2-493310e04c38,WSHQPSS21,,Workstations,"OU=Computers,OU=Seattle,OU=Locations,DC=defense,DC=local"
4ef583b2-4640-4bbe-a51c-85f395cfce43,WSHQPSS22,,Laptops,"OU=Computers,OU=Seattle,OU=Locations,DC=defense,DC=local"
f06922ee-4c75-4712-9451-abbc00213a46,WSHQPSS23,,Workstations,"OU=Computers,OU=Seattle,OU=Locations,DC=defense,DC=local"
30232917-9bdb-426f-aa45-99920b5eadc7,WSHQPSS24,,Laptops,"OU=Computers,OU=Seattle,OU=Locations,DC=defense,DC=local"
a444f094-27f4-457a-9b5b-d844bd5e091a,WSHQSALES01,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
e9276b3d-5db8-4c50-a3f2-a709633ed145,WSHQSALES02,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
53349069-bd56-4d8f-a525-81761755e1a7,WSHQSALES03,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
01ed070f-e0b3-4d90-bf1d-ef221c6ef7fa,WSHQSALES04,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
cf2e5fb9-5466-4563-ab78-c481798d3e5e,WSHQSALES05,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
64762fd7-7327-417f-befe-c48e82dac0d7,WSHQSALES06,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
8c171c07-0647-45c4-99ca-9e6f98240f6c,WSHQSALES07,,Laptops,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
947de3b5-d9fb-4484-af8c-a0b16741a6e2,squid,TRUE,Linux Servers,"OU=Servers,DC=defense,DC=local"
acbdf7d2-c466-4bb3-bcef-2b3e86a0e011,fsatl,TRUE,Windows Servers,"OU=Computers,OU=HQ,OU=Locations,DC=defense,DC=local"
0c01018e-3aad-44bb-89b6-4c4fb0d75c68,sbue01,TRUE,,"OU=Servers,DC=defense,DC=local"
